Location: ,Student Center
Timedate: ,2023-04-24@18_16_09
Server: ,"{'url': 'http://speedtest.spiritcom.com:8080/speedtest/upload.php', 'lat': '34.0006', 'lon': '-81.0442', 'name': 'Columbia, SC', 'country': 'United States', 'cc': 'US', 'sponsor': 'Spirit Communications', 'id': '4265', 'host': 'speedtest.spiritcom.com:8080', 'd': 310.5326824875616, 'latency': 22.276}"
Download [Mbps],Upload [Mbps],Ping [ms]
39.76158634821438,16.95293413192183,22.276
26.56979755315716,29.63791976926797,22.276
6.157655448384534,16.79525832531261,22.276
15.38437762079518,25.63653622277694,22.276
49.001607556047325,8.698052258304372,22.276
50.00045483916717,25.382729214636758,22.276
46.47880701180665,25.185929065447976,22.276
48.84304952727537,13.425397158773244,22.276
33.27061110947103,10.395128813129684,22.276
41.37097561961371,26.95962608230577,22.276
49.88363184907119,9.286133689168578,22.276
44.52569674316434,23.52442897916296,22.276
31.826327988400987,24.379405053539656,22.276
32.06700839067108,24.11656097211683,22.276
40.77651213771741,30.719871566751856,22.276
47.24696183425805,16.894216199236688,22.276
46.004131845390425,15.232993054586895,22.276
22.74005983269988,23.02351660108337,22.276
48.54467158689154,27.50911633597149,22.276
47.50587588653591,30.013331800713267,22.276
