Location: ,Off-Campus House
Timedate: ,2023-04-25@11_40_31
Server: ,"{'url': 'http://stosat-atlt-01.sys.comcast.net:8080/speedtest/upload.php', 'lat': '33.7483', 'lon': '-84.3911', 'name': 'Atlanta, GA', 'country': 'United States', 'cc': 'US', 'sponsor': 'Comcast', 'id': '37808', 'host': 'stosat-atlt-01.sys.comcast.net:8080', 'd': 5.977938350459344, 'latency': 12.432}"
Download [Mbps],Upload [Mbps],Ping [ms]
373.3184446329227,74.76156315801376,12.432
399.1134389015086,75.4723256577635,12.432
388.2459006810463,75.78280672484408,12.432
465.9335735477981,75.4702493077741,12.432
270.4131734091073,71.0045225985456,12.432
396.00211856276337,75.30027861981954,12.432
426.71135295168745,76.18538477381259,12.432
427.7898072871339,78.29252927898361,12.432
385.8143431090371,75.31402767053356,12.432
523.9216039103173,72.39444069517505,12.432
410.43572408733394,79.86977900604147,12.432
374.1249843223644,73.90755538177396,12.432
453.11466520571855,78.47040338260395,12.432
487.7445929724913,74.08128321215942,12.432
485.22810032513814,77.97345895790542,12.432
298.3955466062884,77.60917886396858,12.432
453.12589973370905,75.16404068906482,12.432
450.2171662188491,77.4753327522697,12.432
469.3035359731879,73.74570516318832,12.432
389.68879288481236,77.87623449149257,12.432
