Location: ,Off-Campus House
Timedate: ,2023-04-25@11_56_06
Server: ,"{'url': 'http://speedtest-jax.wavefly.com:8080/speedtest/upload.php', 'lat': '30.3194', 'lon': '-81.6600', 'name': 'Jacksonville, FL', 'country': 'United States', 'cc': 'US', 'sponsor': 'Wavefly', 'id': '51027', 'host': 'speedtest-jax.wavefly.com:8080', 'd': 464.6509231110668, 'latency': 18.576}"
Download [Mbps],Upload [Mbps],Ping [ms]
2.3649061574670047,4.28453683844788,18.576
9.291714689687767,31.85109445702005,18.576
60.013301027510614,27.298424893397105,18.576
58.21431520726139,36.58819486782405,18.576
52.2937388262551,26.775446660493042,18.576
38.95712987494947,36.49279394326549,18.576
41.27776586229139,37.02807846752083,18.576
51.285044172108854,32.87189818838245,18.576
39.8181076744071,27.59528475369472,18.576
28.828352613626986,22.11467438129338,18.576
56.87668909322348,35.5318643012667,18.576
25.138685245858237,23.794382228771898,18.576
35.71654645478845,31.652689911383018,18.576
31.729783676830948,14.933538236643216,18.576
39.40602245646614,14.871873294647374,18.576
33.86103701241467,13.188389611420062,18.576
22.761466589878435,9.942639575778736,18.576
10.523397446239661,12.893498540120394,18.576
44.144716374038616,23.42674108234419,18.576
50.79012607343267,27.185078361423862,18.576
